업소명,소재지(도로명),소재지(지번),소재지전화
미니스톱 연산시티점,부산광역시 연제구 중앙대로1043번길 11 (연산동),부산광역시 연제구 연산동 1359번지 2호  , 051- 866-4094
컴포즈교대점,부산광역시 연제구 교대로 18 (거제동),부산광역시 연제구 거제동 89번지 41호  ,
언양진미식당,부산광역시 연제구 교대로 11 (거제동),부산광역시 연제구 거제동 79번지 31호  , 051- 504-7226
할매순대국,부산광역시 연제구 고분로 12-1 (연산동),부산광역시 연제구 연산동 731번지 1호  ,051 -866 -9008
용문식당,부산광역시 연제구 거제천로 207-1 (거제동),부산광역시 연제구 거제동 1번지 76호  , 051- 864-6005
용문각,부산광역시 연제구 거제천로 209 (거제동),부산광역시 연제구 거제동 1번지 75호  ,051 -864 -6005
노랑통닭,부산광역시 연제구 월드컵대로114번길 4 (연산동),부산광역시 연제구 연산동 676번지 50호  , 051- 865-1252
처갓집양념치킨(연제점),부산광역시 연제구 거제천로 183 (거제동),부산광역시 연제구 거제동 2번지 74호  , 051- 866-9050
옥천해물칼국수,부산광역시 연제구 과정로344번길 47 (연산동),부산광역시 연제구 연산동 305번지 14호  , 051- 853-3294
오륜대 향어,부산광역시 연제구 중앙대로1120번길 13 (연산동),부산광역시 연제구 연산동 675번지 16호  ,
연산식당,부산광역시 연제구 과정로265번가길 5 (연산동),부산광역시 연제구 연산동 1051번지 5호  , 051- 866-5258
썬,부산광역시 연제구 중앙대로1120번길 14-5 (연산동),부산광역시 연제구 연산동 723번지 12호  ,051 -864 -0660
반갑다 친구야,부산광역시 연제구 거제천로230번길 96 (연산동),부산광역시 연제구 연산동 723번지 1호  ,051 -853 -7177
고성횟집,부산광역시 연제구 중앙대로 1116-9 (연산동),부산광역시 연제구 연산동 724번지 6호  , 051- 861-7666
먹거리 장터,부산광역시 연제구 중앙대로 1116-11 (연산동),부산광역시 연제구 연산동 724번지 7호  ,051 -867 -4789
24시콩나물해장국,부산광역시 연제구 중앙대로 1116-11 (연산동),부산광역시 연제구 연산동 724번지 7호  , 051- 852-5453
참나무숯불갈비,부산광역시 연제구 중앙대로1133번길 13 (연산동),부산광역시 연제구 연산동 1124번지 2호  , 051- 852-2014
송현추어탕,부산광역시 연제구 안연로8번길 55 (연산동),부산광역시 연제구 연산동 397번지 27호  ,051 -753 -2309
초량불백,부산광역시 연제구 세병로 13 (연산동),부산광역시 연제구 연산동 585번지 8호  , 051- 865-3068
산청한방오리,부산광역시 연제구 고분로13번길 5-8 (연산동),부산광역시 연제구 연산동 603번지 37호  , 051- 853-2252
아리랑반점,부산광역시 연제구 거제천로 287 (거제동),부산광역시 연제구 거제동 1463번지 62호  , 051- 865-5005
내고향 싸리골,부산광역시 연제구 월드컵대로111번길 4 (연산동),부산광역시 연제구 연산동 709번지 5호  ,
알뜰실비식당,부산광역시 연제구 연수로 100 (연산동),부산광역시 연제구 연산동 844번지 1호  , 051- 863-7502
한독원,부산광역시 연제구 봉수로 15 (연산동),부산광역시 연제구 연산동 1873번지 30호  , 051- 868-7674
배산정,부산광역시 연제구 금련로 6 (연산동),부산광역시 연제구 연산동 1811번지 214호  , 051- 853-1977
초원복국,부산광역시 연제구 반송로 22 (연산동),부산광역시 연제구 연산동 603번지 6호  , 051- 851-0003
진미돼지국밥,부산광역시 연제구 과정로191번길 9 (연산동),부산광역시 연제구 연산동 418번지 13호  , 051- 759-9561
박미서 부대찌개,부산광역시 연제구 중앙대로1043번길 11 (연산동),부산광역시 연제구 연산동 1359번지 2호  , 051- 861-7926
와,부산광역시 연제구 세병로 6 (연산동),부산광역시 연제구 연산동 584번지 14호  , 051- 865-7100
토담식당,부산광역시 연제구 과정로 335-1 (연산동),부산광역시 연제구 연산동 313번지 20호  , 051- 851-0006
동원숯불갈비,부산광역시 연제구 과정로276번길 9 (연산동),부산광역시 연제구 연산동 366번지 47호  , 051- 864-2379
금정식당,부산광역시 연제구 중앙대로1038번길 28 (연산동),부산광역시 연제구 연산동 1595번지 23호  , 051- 867-0044
연산맛고을,부산광역시 연제구 반송로 18-8 (연산동),부산광역시 연제구 연산동 603번지 43호  , 051-851 -9229
충무김밥,부산광역시 연제구 중앙대로1120번길 13-5 (연산동),부산광역시 연제구 연산동 675번지 7호  , 051- 864-6820
153 청해,부산광역시 연제구 쌍미천로151번길 22 (연산동),부산광역시 연제구 연산동 622번지 8호  , 051- 862-9545
하동재첩,부산광역시 연제구 고분로 7-2 (연산동),부산광역시 연제구 연산동 730번지 1호  , 051- 863-8480
진미원,부산광역시 연제구 월드컵대로120번길 8 (연산동),부산광역시 연제구 연산동 746번지 4호  ,051 -862 -3030
일월수산횟집,"부산광역시 연제구 좌수영로 314, 1층 (연산동)",부산광역시 연제구 연산동 463번지 38호  , 051- 759-8944
소문난 집,부산광역시 연제구 월드컵대로153번길 27 (연산동),부산광역시 연제구 연산동 1279번지 8호  , 051- 861-7677
신가조방낙지 양푼이동태탕,부산광역시 연제구 세병로 4 (연산동),부산광역시 연제구 연산동 584번지 15호  , 051- 852-1177
거북선횟집,부산광역시 연제구 세병로 6 (연산동),부산광역시 연제구 연산동 584번지 14호  ,051 -853 -4114
유황생오리,부산광역시 연제구 과정로278번길 10 (연산동),부산광역시 연제구 연산동 366번지 48호  ,051 -566 -8555
목화,부산광역시 연제구 연수로 105 (연산동),부산광역시 연제구 연산동 822번지 49호  ,051 -802 -6509
서울깍두기,부산광역시 연제구 중앙대로1134번길 55 (연산동),부산광역시 연제구 연산동 585번지 37호  , 051- 867-8203
연산로타리곱창센타,부산광역시 연제구 반송로 13-7 (연산동),부산광역시 연제구 연산동 726번지 11호  , 051- 864-2009
푸짐한집,부산광역시 연제구 반송로 13-7 (연산동),부산광역시 연제구 연산동 726번지 11호  ,
대해참치,부산광역시 연제구 반송로 13-1 (연산동),부산광역시 연제구 연산동 726번지 4호  ,051 -866 -5188
대성관,부산광역시 연제구 거제천로230번길 98 (연산동),부산광역시 연제구 연산동 723번지 2호  , 051- 864-2479
고향촌 돼지국밥,부산광역시 연제구 중앙대로1120번길 10 (연산동),부산광역시 연제구 연산동 724번지 1호  , 051- 868-2229
이상은 파스타,부산광역시 연제구 거제천로269번길 32 (거제동),부산광역시 연제구 거제동 1462번지 29호  , 051- 865-4696
혜림정,"부산광역시 연제구 거제천로182번길 42 (연산동,연산5동)",부산광역시 연제구 연산동 1127번지 25호 연산5동 , 051- 862-2197
삼합일,부산광역시 연제구 중앙대로1133번길 6 (연산동),부산광역시 연제구 연산동 1123번지 18호  , 051- 865-4338
신사동 숯불갈비,"부산광역시 연제구 중앙천로 4 (연산동,연산2동)",부산광역시 연제구 연산동 784번지 9호 연산2동 ,0518-6367-73
행복수산 착한대게(연산점),"부산광역시 연제구 반송로 81, 1층 (연산동)",부산광역시 연제구 연산동 582번지 60호  ,
산세비아,부산광역시 연제구 연수로 220 (연산동),부산광역시 연제구 연산동 1800번지 16호  , 051- 864-9955
대화루,부산광역시 연제구 금련로 10 (연산동),부산광역시 연제구 연산동 1811번지 221호  , 051- 863-6254
달인국수,부산광역시 연제구 고분로 5-2 (연산동),부산광역시 연제구 연산동 729번지 7호  ,051 -853 -3255
미주해장국,부산광역시 연제구 반송로 14-1 (연산동),부산광역시 연제구 연산동 728번지 3호  , 051- 853-7018
초심정,부산광역시 연제구 중앙대로1134번길 11-1 (연산동),부산광역시 연제구 연산동 586번지 18호  ,051 -864 -0550
돈앤닭,부산광역시 연제구 고분로 14 (연산동),부산광역시 연제구 연산동 752번지 31호  , 051- 852-1600
서울감자탕,부산광역시 연제구 고분로13번길 5-18 (연산동),부산광역시 연제구 연산동 603번지 12호  , 051- 864-1073
한양장충족발,부산광역시 연제구 고분로 7-2 (연산동),부산광역시 연제구 연산동 730번지 1호  , 051- 863-7997
본가식당,부산광역시 연제구 중앙대로1235번길 16 (거제동),부산광역시 연제구 거제동 113번지 1호  , 051- 505-8556
길림성,부산광역시 연제구 아시아드대로19번길 3 (거제동),부산광역시 연제구 거제동 877번지 5호  , 051- 506-0203
맥시칸통닭,부산광역시 연제구 해맞이로 105-1 (거제동),부산광역시 연제구 거제동 815번지 62호  , 051- 503-9339
다슬기 마을,부산광역시 연제구 중앙대로1076번길 10 (연산동),부산광역시 연제구 연산동 703번지 2호  , 051- 865-4640
충남반점,부산광역시 연제구 반송로 50-8 (연산동),부산광역시 연제구 연산동 590번지 42호  , 051- 866-0222
삼우정식당,"부산광역시 연제구 과정로344번길 26, 1층 (연산동)",부산광역시 연제구 연산동 307번지 63호  , 051- 862-1182
무간,부산광역시 연제구 거제천로182번길 55 (연산동),부산광역시 연제구 연산동 1124번지 29호  , 051- 861-6657
연지가양곱창,부산광역시 연제구 중앙대로 1119 (연산동),부산광역시 연제구 연산동 1124번지 5호  ,
할매국수,부산광역시 연제구 중앙대로 1039 (연산동),부산광역시 연제구 연산동 1329번지 3호  , 051- 861-7733
수정,부산광역시 연제구 월드컵대로165번길 15 (연산동),부산광역시 연제구 연산동 1255번지 19호  , 051- 862-9849
왈왈몸보신,"부산광역시 연제구 거제천로182번길 50-3, 1층 (연산동)",부산광역시 연제구 연산동 1127번지 23호  ,
행복한해물포차,부산광역시 연제구 과정로283번길 1 (연산동),부산광역시 연제구 연산동 370번지 1호  , 051- 853-0106
모듬순대,부산광역시 연제구 진남로 623 (연산동),부산광역시 연제구 연산동 844번지 57호  ,051 -867 -1533
토곡아구찜,<REPLACE>,부산광역시 연제구 연산동 23번지 74호  , 051- 759-5009
유나,부산광역시 연제구 과정로 210 (연산동),부산광역시 연제구 연산동 400번지 28호  , 051- 759-4690
웅이곱창,"부산광역시 연제구 금련로6번길 1, 1층 (연산동)",부산광역시 연제구 연산동 1811번지 211호  , 051- 866-0828
예솜,부산광역시 연제구 월드컵대로120번길 5 (연산동),부산광역시 연제구 연산동 739번지 16호  ,051 -865 -1125
솔잎족발,부산광역시 연제구 고분로13번길 5-14 (연산동),부산광역시 연제구 연산동 603번지 13호  , 051- 868-3310
봉추찜닭연산점,부산광역시 연제구 반송로 24 (연산동),부산광역시 연제구 연산동 603번지 5호  , 051-868 -6981
은자실비,부산광역시 연제구 연수로148번길 1 (연산동),부산광역시 연제구 연산동 1947번지 6호  , 051- 865-7876
얼큰이김치국밥식당,부산광역시 연제구 반송로 32-15 (연산동),부산광역시 연제구 연산동 590번지 12호  , 051- 868-6268
두건쓴 형제,"부산광역시 연제구 과정로343번길 6, 1층 (연산동)",부산광역시 연제구 연산동 314번지 4호  , 051- 867-3975
정 불백,부산광역시 연제구 월드컵대로119번길 7 (연산동),부산광역시 연제구 연산동 709번지 18호  , 051- 864-0190
북경,부산광역시 연제구 월드컵대로119번길 20 (연산동),부산광역시 연제구 연산동 702번지 13호  , 051- 863-0055
영빈크라운,부산광역시 연제구 과정로 294 (연산동),부산광역시 연제구 연산동 346번지 22호  , 051- 866-6270
녹동세발낙지,부산광역시 연제구 과정로 268 (연산동),부산광역시 연제구 연산동 382번지 18호  , 051- 867-8592
오렌지,부산광역시 연제구 진남로 623 (연산동),부산광역시 연제구 연산동 844번지 57호  , 051- 868-3700
김진철동래통닭,부산광역시 연제구 고분로236번길 5 (연산동),부산광역시 연제구 연산동 481번지 5호  , 051- 758-8173
황소야,부산광역시 연제구 고분로 11 (연산동),부산광역시 연제구 연산동 730번지 15호  , 051- 853-2174
네네치킨,부산광역시 연제구 거제천로230번길 25 (연산동),부산광역시 연제구 연산동 579번지 35호  , 051- 862-0018
복마을,부산광역시 연제구 월드컵대로114번길 9 (연산동),부산광역시 연제구 연산동 746번지 7호  , 051- 851-3263
태화루,부산광역시 연제구 월드컵대로188번길 7 (거제동),부산광역시 연제구 거제동 18번지 27호  , 051- 863-4702
문화공간 민들레,부산광역시 연제구 해맞이로105번길 9 (거제동),부산광역시 연제구 거제동 815번지 65호  , 051- 502-9436
모아식당,부산광역시 연제구 과정로 338 (연산동),부산광역시 연제구 연산동 307번지 52호  , 051- 853-5944
예림통닭,부산광역시 연제구 쌍미천로161번길 30 (연산동),부산광역시 연제구 연산동 619번지 6호  , 051- 853-5691
우가네왕김밥,부산광역시 연제구 중앙대로 1041 (연산동),부산광역시 연제구 연산동 1330번지 10호  , 051- 867-2518
마당숯불갈비,부산광역시 연제구 월드컵대로119번길 21 (연산동),부산광역시 연제구 연산동 708번지 1호  , 051- 863-9783
행복국수,"부산광역시 연제구 과정로283번나길 27, 1층 (연산동)",부산광역시 연제구 연산동 1071번지 4호  , 051- 864-3222
썬더치킨토곡점,부산광역시 연제구 고분로 234 (연산동),부산광역시 연제구 연산동 480번지 10호  , 051- 753-0806
바다아구찜,부산광역시 연제구 온천천남로160번길 36-1 (연산동),부산광역시 연제구 연산동 463번지 32호  ,051 -753 -0001
바다양푼이동태탕,부산광역시 연제구 반송로 13-5 (연산동),부산광역시 연제구 연산동 726번지 12호  ,
대하횟집,부산광역시 연제구 고분로13번길 5-20 (연산동),부산광역시 연제구 연산동 603번지 11호  ,051 -867 -4213
연산 용갈비,부산광역시 연제구 고분로13번길 5-20 (연산동),부산광역시 연제구 연산동 603번지 11호  ,051 -863 -0904
청학동,부산광역시 연제구 고분로13번길 5-20 (연산동),부산광역시 연제구 연산동 603번지 11호  , 051- 864-1838
한창오돌뼈,부산광역시 연제구 고분로13번길 20 (연산동),부산광역시 연제구 연산동 630번지 16호  ,051 -861 -0761
미우한우,부산광역시 연제구 고분로13번길 5-16 (연산동),부산광역시 연제구 연산동 603번지 38호  , 051- 863-3302
부잣집,부산광역시 연제구 거제대로272번길 23 (거제동),부산광역시 연제구 거제동 2번지 72호  ,051 -634 -3530
황태마을,부산광역시 연제구 거제대로272번길 25 (거제동),부산광역시 연제구 거제동 2번지 73호  , 051- 866-3883
아리산,부산광역시 연제구 거제시장로11번길 12 (거제동),부산광역시 연제구 거제동 487번지 7호  , 051- 866-9283
통영시골밥상,부산광역시 연제구 거제시장로 31 (거제동),부산광역시 연제구 거제동 589번지 6호  , 051- 862-8524
짬뽕면가연제반점,부산광역시 연제구 배산로 9 (연산동),부산광역시 연제구 연산동 2131번지 8호  , 051- 868-7909
통바리,부산광역시 연제구 반송로 32-17 (연산동),부산광역시 연제구 연산동 590번지 28호  , 051- 868-6635
도화,부산광역시 연제구 고분로13번길 61 (연산동),부산광역시 연제구 연산동 590번지 55호  , 051- 868-6106
기장꼼장어,"부산광역시 연제구 반송로 32-15 (연산동,연산1동)",부산광역시 연제구 연산동 590번지 12호 연산1동 , 051- 861-7233
대길식당,부산광역시 연제구 고분로13번길 54 (연산동),부산광역시 연제구 연산동 619번지 1호  , 051- 865-2130
옻전복 삼계탕,부산광역시 연제구 월드컵대로119번길 16 (연산동),부산광역시 연제구 연산동 702번지 16호  , 051- 862-3307
전설의노가리,부산광역시 연제구 월드컵대로 109 (연산동),부산광역시 연제구 연산동 710번지 1호  ,
미도,부산광역시 연제구 월드컵대로111번길 6-11 (연산동),부산광역시 연제구 연산동 708번지 11호  , 051- 866-3313
녹두밭,부산광역시 연제구 월드컵대로111번길 6-13 (연산동),부산광역시 연제구 연산동 708번지 10호  , 051- 853-1833
오소리순대,부산광역시 연제구 월드컵대로 162 (연산동),부산광역시 연제구 연산동 1127번지 12호  , 051- 852-2066
크랩 아일랜드,부산광역시 연제구 월드컵대로145번길 10 (연산동),부산광역시 연제구 연산동 1244번지 14호  ,
(유)관광호텔미라보엘리제,"부산광역시 연제구 중앙대로 1121 (연산동,(2층))",부산광역시 연제구 연산동 1124번지 25호 (2층) , 051- 866-7400
대원숯불갈비,부산광역시 연제구 연수로87번길 45 (연산동),부산광역시 연제구 연산동 806번지 3호  , 051- 867-2345
옛날하림통닭,"부산광역시 연제구 중앙대로1038번길 6, 1층 (연산동)",부산광역시 연제구 연산동 1328번지 3호  , 051- 864-2968
보리수,부산광역시 연제구 중앙대로 1042 (연산동),부산광역시 연제구 연산동 1331번지 21호  ,051 -863 -3804
형제관,부산광역시 연제구 중앙천로 72-2 (연산동),부산광역시 연제구 연산동 1320번지 38호  ,051 -862 -0004
호프청바지,부산광역시 연제구 좌수영로 314 (연산동),부산광역시 연제구 연산동 463번지 38호  , 051- 751-0770
비앤비(B&B),부산광역시 연제구 과정로208번길 14 (연산동),부산광역시 연제구 연산동 396번지 3호  , 051- 759-4200
구스비어,부산광역시 연제구 연안로 8 (연산동),부산광역시 연제구 연산동 463번지 3호  , 051- 751-5449
향수식당,부산광역시 연제구 과정로191번길 39 (연산동),부산광역시 연제구 연산동 417번지 1호  , 051- 867-0653
4900이면 돼지,부산광역시 연제구 중앙대로1120번길 16 (연산동),부산광역시 연제구 연산동 723번지 11호  ,051 -864 -1117
찌찌뽕,부산광역시 연제구 고분로 14-1 (연산동),부산광역시 연제구 연산동 752번지 14호  ,051 -852 -9934
언덕길 연탄불고기,부산광역시 연제구 고분로 14 (연산동),부산광역시 연제구 연산동 752번지 31호  ,
꼬꼬아찌 숯불치킨,부산광역시 연제구 고분로13번길 28 (연산동),부산광역시 연제구 연산동 620번지 12호  ,051 -852 -8857
태영숯불촌,부산광역시 연제구 중앙대로1120번길 14-6 (연산동),부산광역시 연제구 연산동 724번지 9호  , 051- 864-4450
내고향추어탕,부산광역시 연제구 중앙대로1134번길 11 (연산동),부산광역시 연제구 연산동 586번지 17호  , 051- 851-8488
참맛산곰장어,부산광역시 연제구 고분로31번길 13 (연산동),부산광역시 연제구 연산동 630번지 7호  ,051 -851 -9288
디디치킨,부산광역시 연제구 월드컵대로10번길 22 (연산동),부산광역시 연제구 연산동 1930번지 3호  , 051- 865-4595
원조할매국밥,부산광역시 연제구 월드컵대로187번길 2 (거제동),부산광역시 연제구 거제동 37번지 32호  ,051 -853 -9886
만수산 돼지국밥,부산광역시 연제구 중앙대로1043번길 11 (연산동),부산광역시 연제구 연산동 1359번지 2호  , 051- 863-1005
미가참치,부산광역시 연제구 고분로13번길 50 (연산동),부산광역시 연제구 연산동 619번지 5호  , 051- 866-4999
골목와라,"부산광역시 연제구 신촌로 35-6, 1층 (연산동)",부산광역시 연제구 연산동 1500번지 29호  , 051- 868-6638
참숯마을,부산광역시 연제구 월드컵대로111번길 6-8 (연산동),부산광역시 연제구 연산동 709번지 8호  , 051- 851-0053
더드림,부산광역시 연제구 월드컵대로 109 (연산동),부산광역시 연제구 연산동 710번지 1호  , 051- 868-2761
마포본가,부산광역시 연제구 월드컵대로111번길 10 (연산동),부산광역시 연제구 연산동 708번지 9호  , 051- 867-9252
해암뷔페,"부산광역시 연제구 중앙대로 1099 (연산동,,13)","부산광역시 연제구 연산동 1242번지 8호 ,13 ",051 -867 -7600
추가네고향갈비,부산광역시 연제구 월드컵대로119번길 31 (연산동),부산광역시 연제구 연산동 707번지 1호  , 051- 864-8800
열빈원,"부산광역시 연제구 거제천로136번길 36, 1층 (연산동)",부산광역시 연제구 연산동 1299번지 4호  , 051- 851-4753
고명화 돼지국밥,"부산광역시 연제구 중앙대로 1099 (연산동,,13)","부산광역시 연제구 연산동 1242번지 8호 ,13 ", 051- 862-8555
청미추어탕,부산광역시 연제구 월드컵대로111번길 6-12 (연산동),부산광역시 연제구 연산동 709번지 3호  , 051- 868-1522
파라다이스떡볶이,부산광역시 연제구 고분로 143 (연산동),부산광역시 연제구 연산동 374번지 37호  , 051- 862-5799
불잉걸,"부산광역시 연제구 과정로265번길 16 (연산동,,21)","부산광역시 연제구 연산동 1065번지 5호 ,21 ", 051- 864-0244
왕찌짐이,부산광역시 연제구 과정로 308 (연산동),부산광역시 연제구 연산동 344번지 3호  , 051-865 -9289
타임,부산광역시 연제구 중앙대로 1040 (연산동),부산광역시 연제구 연산동 1327번지 25호  , 051- 868-1611
상가영덕식당,부산광역시 연제구 토현로 6 (연산동),부산광역시 연제구 연산동 2220번지 2호  , 051- 757-7316
소문난 횟집,부산광역시 연제구 안연로8번길 69 (연산동),부산광역시 연제구 연산동 396번지 4호  , 051- 759-2727
향방원,부산광역시 연제구 과정로191번길 26 (연산동),부산광역시 연제구 연산동 415번지 21호  ,
헤라,부산광역시 연제구 고분로13번길 5 (연산동),부산광역시 연제구 연산동 603번지 22호  , 051- 864-9620
연산포차,부산광역시 연제구 반송로 13-8 (연산동),부산광역시 연제구 연산동 723번지 16호  ,
충무산곰장어,부산광역시 연제구 고분로13번길 5-15 (연산동),부산광역시 연제구 연산동 730번지 3호  , 051- 866-6647
좋은하루,부산광역시 연제구 중앙대로1120번길 14-5 (연산동),부산광역시 연제구 연산동 723번지 12호  , 051- 851-2850
대찬 육회,부산광역시 연제구 쌍미천로151번길 50 (연산동),부산광역시 연제구 연산동 630번지 39호  ,051 -863 -1923
족발쌀롱,부산광역시 연제구 고분로13번길 5 (연산동),부산광역시 연제구 연산동 603번지 22호  ,
할매아구찜,"부산광역시 연제구 쌍미천로125번길 17 (연산동,연산4동)",부산광역시 연제구 연산동 643번지 15호 연산4동 , 051- 864-3969
만화당전통식당,부산광역시 연제구 교대로 9 (거제동),부산광역시 연제구 거제동 79번지 25호  , 051- 504-6785
우정,부산광역시 연제구 교대로 9 (거제동),부산광역시 연제구 거제동 79번지 25호  , 051- 504-3072
목화정,"부산광역시 연제구 중앙대로1235번길 9 (거제동,1993.4.7. 114-24번지에서 분할됨)",부산광역시 연제구 거제동 114번지 26호 1993.4.7. 114-24번지에서 분할됨 , 051- 501-0761
남해식당,부산광역시 연제구 월드컵대로188번길 7 (거제동),부산광역시 연제구 거제동 18번지 27호  ,051 -864 -7475
"호식이두마리치킨 ,최종하엔피자로",부산광역시 연제구 쌍미천로 9 (연산동),부산광역시 연제구 연산동 2135번지 12호  , 051- 864-7400
숯불바베큐꾸꾸,부산광역시 연제구 쌍미천로 6 (연산동),부산광역시 연제구 연산동 2133번지 3호  , 051- 853-1266
상하이,부산광역시 연제구 고분로 99 (연산동),부산광역시 연제구 연산동 337번지 45호  , 051- 852-5735
연동생선횟집,부산광역시 연제구 연동로8번길 23 (연산동),부산광역시 연제구 연산동 317번지 20호  , 051- 863-4391
송푸딩김밥,부산광역시 연제구 연동로14번길 1 (연산동),부산광역시 연제구 연산동 337번지 65호  , 051- 862-9127
금터왕갈비,부산광역시 연제구 과정로294번길 31 (연산동),부산광역시 연제구 연산동 344번지 7호  , 051- 853-1509
경미돼지국밥,부산광역시 연제구 과정로276번길 28 (연산동),부산광역시 연제구 연산동 364번지 1호  , 051- 866-7949
썬더치킨 연산5호점,부산광역시 연제구 과정로 308 (연산동),부산광역시 연제구 연산동 344번지 3호  ,051 -853 -7422
만나김밥,부산광역시 연제구 중앙대로1038번길 38 (연산동),부산광역시 연제구 연산동 1598번지 18호  ,
청화반점,부산광역시 연제구 중앙천로14번길 22 (연산동),부산광역시 연제구 연산동 778번지 1호  ,051 -852 -8991
새마을식당,부산광역시 연제구 진남로 613-1 (연산동),부산광역시 연제구 연산동 844번지 39호  ,
노래를찾는사람들,부산광역시 연제구 연수로 218 (연산동),부산광역시 연제구 연산동 1800번지 17호  ,051 -853 -2305
기장곰장어,부산광역시 연제구 연수로 234 (연산동),부산광역시 연제구 연산동 1805번지 13호  , 051- 863-1171
남촌통닭,부산광역시 연제구 연수로226번길 18 (연산동),부산광역시 연제구 연산동 1811번지 299호  , 051- 868-8415
부광식당,부산광역시 연제구 토곡로 23-1 (연산동),부산광역시 연제구 연산동 40번지 9호  , 051- 754-3144
토곡,부산광역시 연제구 과정로 110 (연산동),부산광역시 연제구 연산동 491번지 10호  ,
서울깍두기,"부산광역시 연제구 안연로 18, 1,2층 (연산동)",부산광역시 연제구 연산동 392번지 8호  , 051- 752-7818
청송골갈비,부산광역시 연제구 안연로8번길 15-1 (연산동),부산광역시 연제구 연산동 398번지 4호  , 051- 751-5570
맥시칸양념통닭,"부산광역시 연제구 토현로 6, 망미주공아파트 주공상가 가동 2층 205호 (연산동)",부산광역시 연제구 연산동 2220번지 2호 망미주공아파트 , 051- 808-7203
DDC(디디씨)치킨 토곡점,부산광역시 연제구 과정로 127 (연산동),부산광역시 연제구 연산동 490번지 33호  ,051 -754 -1188
하일라이트,부산광역시 연제구 과정로 220 (연산동),부산광역시 연제구 연산동 400번지 25호  , 051-756 -4988
오복정,부산광역시 연제구 고분로242번길 9 (연산동),부산광역시 연제구 연산동 482번지 10호  ,
이모밥줘,부산광역시 연제구 중앙대로1150번길 56 (연산동),부산광역시 연제구 연산동 585번지 57호  ,051 -852 -0305
사계절추어탕,부산광역시 연제구 거제천로230번길 25 (연산동),부산광역시 연제구 연산동 579번지 35호  , 051- 852-6790
남해바다횟집,부산광역시 연제구 중앙대로1120번길 13-5 (연산동),부산광역시 연제구 연산동 675번지 7호  , 051-861 -5301
왕갈대식당,부산광역시 연제구 거제천로230번길 3 (연산동),부산광역시 연제구 연산동 579번지 38호  , 051- 863-1108
진주아구찜,부산광역시 연제구 월드컵대로114번길 19 (연산동),부산광역시 연제구 연산동 731번지 11호  , 051- 868-4345
삼환축산,부산광역시 연제구 거제천로 285 (거제동),부산광역시 연제구 거제동 1463번지 63호  ,051 -867 -5989
교동짬뽕,부산광역시 연제구 거제대로272번길 19 (거제동),부산광역시 연제구 거제동 2번지 71호  , 051- 863-6012
우리돈까스,부산광역시 연제구 여고로 84-1 (거제동),부산광역시 연제구 거제동 207번지 37호  , 051- 502-4176
길벗,부산광역시 연제구 거제대로178번길 55 (거제동),부산광역시 연제구 거제동 41번지 70호  , 051- 865-3238
지오,부산광역시 연제구 쌍미천로 5 (연산동),부산광역시 연제구 연산동 2134번지 12호  , 051- 864-3188
번지없는집,부산광역시 연제구 쌍미천로 7 (연산동),부산광역시 연제구 연산동 2134번지 27호  , 051-868 -0698
가덕도식당,부산광역시 연제구 과정로291번길 8 (연산동),부산광역시 연제구 연산동 342번지 8호  , 051- 865-5361
세븐,부산광역시 연제구 과정로 332-1 (연산동),부산광역시 연제구 연산동 307번지 29호  , 051- 867-2338
류길상피자(연산점),부산광역시 연제구 과정로 311-1 (연산동),부산광역시 연제구 연산동 312번지 35호  ,
할매식당,부산광역시 연제구 과정로348번길 45 (연산동),부산광역시 연제구 연산동 300번지 58호  , 051- 861-6856
오순애짬뽕,"부산광역시 연제구 안연로 26, 1층 (연산동)",부산광역시 연제구 연산동 392번지 1호  ,051 -862 -5707
미각추어탕,부산광역시 연제구 연동로8번길 35 (연산동),부산광역시 연제구 연산동 317번지 4호  ,051 -864 -7118
착한짜장,부산광역시 연제구 과정로322번길 8 (연산동),부산광역시 연제구 연산동 309번지 14호  , 051- 866-3378
수제맥주집,부산광역시 연제구 고분로13번길 55 (연산동),부산광역시 연제구 연산동 590번지 68호  ,
야타이미세,부산광역시 연제구 고분로13번길 62 (연산동),부산광역시 연제구 연산동 615번지 95호  , 051- 866-3258
금정갈비,부산광역시 연제구 거제천로 174 (연산동),부산광역시 연제구 연산동 1141번지 8호  , 051- 865-5520
매운수제비,부산광역시 연제구 중앙대로1133번길 13 (연산동),부산광역시 연제구 연산동 1124번지 2호  , 051- 865-3214
미소도야지,부산광역시 연제구 중앙대로1133번길 13 (연산동),부산광역시 연제구 연산동 1124번지 2호  , 051- 864-5523
퓨전횟집청해,부산광역시 연제구 중앙대로1133번길 13 (연산동),부산광역시 연제구 연산동 1124번지 2호  , 051- 865-5746
왕삼겹대패,부산광역시 연제구 월드컵대로119번길 11 (연산동),부산광역시 연제구 연산동 709번지 14호  ,
짱해장국,부산광역시 연제구 거제천로154번길 41 (연산동),부산광역시 연제구 연산동 1143번지 2호  , 051- 865-7798
이백돼지순대국밥,부산광역시 연제구 월드컵대로99번길 38 (연산동),부산광역시 연제구 연산동 708번지 2호  , 051- 867-9279
포항물회,"부산광역시 연제구 거제천로182번길 42-2 (연산동,지상1,2층)","부산광역시 연제구 연산동 1127번지 28호 지상1,2층 ", 051- 866-0480
