업소명,소재지(도로명),소재지(지번),소재지전화
벌떼집,"부산광역시 연제구 월드컵대로111번길 6-16, A동 1층 83,84,85호 (연산동)",부산광역시 연제구 연산동 709번지 17호  ,
내사랑닭발,"부산광역시 연제구 신촌로 34-1, 1,2층 (연산동)",부산광역시 연제구 연산동 1499번지 16호  ,
더.국수,"부산광역시 연제구 중앙천로2번길 16, 1층 (연산동)",부산광역시 연제구 연산동 2001번지 5호  ,051 -862 -8277
몬스터231,부산광역시 연제구 월드컵대로 344 (거제동),부산광역시 연제구 거제동 1299번지  ,051 -500 -4500
맛깔참죽 연산토곡점,"부산광역시 연제구 안연로 34-1, 1층 (연산동)",부산광역시 연제구 연산동 386번지 7호  ,051 -752 -6288
쌀통닭,"부산광역시 연제구 쌍미천로 18, 1층 (연산동)",부산광역시 연제구 연산동 2139번지 18호  ,
라무진,"부산광역시 연제구 고분로13번길 25, 1층 107호 (연산동, 쌍용아파트상가)",부산광역시 연제구 연산동 603번지 7호  ,
투존치킨,"부산광역시 연제구 고분로20번길 25, 1층 (연산동)",부산광역시 연제구 연산동 640번지 4호  ,051 -852 -3308
형제숯불갈비,"부산광역시 연제구 고분로 65, 1층 (연산동)",부산광역시 연제구 연산동 331번지 22호  ,
1166-9(일일육육-구),부산광역시 연제구 법원로 6 (거제동),부산광역시 연제구 거제동 1166번지 9호  ,051 -501 -1119
도야족발,"부산광역시 연제구 안연로23번길 51, 1층 (연산동)",부산광역시 연제구 연산동 365번지 19호  ,051 -851 -7775
회뜨는집,"부산광역시 연제구 신금로 12, 1층 (연산동)",부산광역시 연제구 연산동 345번지 36호  ,
오성식당,"부산광역시 연제구 월드컵대로111번길 6-16, A동 1층 31,36,37,38,39호 (연산동)",부산광역시 연제구 연산동 709번지 17호  ,
시라가,"부산광역시 연제구 반송로 22, 1층 115호 (연산동)",부산광역시 연제구 연산동 603번지 6호 1층 115호일부 ,
먹거리 만두,"부산광역시 연제구 과정로 210, 1층 (연산동)",부산광역시 연제구 연산동 400번지 28호  ,
단미포차,"부산광역시 연제구 안연로 33, D동 1층 104호 (연산동, 더샆파크시티 상가)",부산광역시 연제구 연산동 2311번지  ,
외식하기가장좋은집,"부산광역시 연제구 중앙대로1043번길 40, 1층 (연산동)",부산광역시 연제구 연산동 1370번지 9호  ,051 -852 -9291
봉갈비,"부산광역시 연제구 과정로 322, 1층 (연산동)",부산광역시 연제구 연산동 309번지 4호  ,
오정은 a김밥,"부산광역시 연제구 안연로 33, E동 1층 110호 (연산동, 더샆파크시티 상가)",부산광역시 연제구 연산동 2311번지  ,
토크,부산광역시 연제구 중앙대로1120번길 7 (연산동),부산광역시 연제구 연산동 675번지 8호  ,
암소가 뿔났다,"부산광역시 연제구 과정로276번길 28, E동 1층 103,104,107,108호 (연산동, 연천시장 상가)",부산광역시 연제구 연산동 364번지 1호  ,
배가왕칼국수 연제점,"부산광역시 연제구 연수로87번길 15, 1층 (연산동)",부산광역시 연제구 연산동 824번지 11호  ,
공린,"부산광역시 연제구 안연로 33, E동 108.109호 (연산동, 부산더샵파크시티)","부산광역시 연제구 연산동 2311번지 부산더샵파크시티 E동 108,109호 ",
글로리아,"부산광역시 연제구 과정로 323, 2층 (연산동)",부산광역시 연제구 연산동 312번지 12호  ,
우리집 한식,"부산광역시 연제구 중앙천로73번길 13-7, 1층 (연산동)",부산광역시 연제구 연산동 1645번지 33호  ,
연일참숯구이2,"부산광역시 연제구 고분로32번길 42, 2층 (연산동)",부산광역시 연제구 연산동 644번지 1호  ,
꼬꼬라뎅스,"부산광역시 연제구 신금로 24, 1층 (연산동)",부산광역시 연제구 연산동 345번지 1호  ,
스텔라(stellar),부산광역시 연제구 거제천로269번길 44 (거제동),부산광역시 연제구 거제동 1462번지 33호  ,
