,업소명,도로명주소,소재지전화,경도,위도
58,홀인원,부산광역시 연제구 중앙대로1043번길 11 ,051 -865 -8113,129.07708254181202,35.18144396882401
59,남자이야기,부산광역시 연제구 반송로 26 ,,129.08379788808105,35.187380723584006
60,제우스,부산광역시 연제구 중앙대로 1116-4 , 051- 862-3284,129.08183089769335,35.18703968525464
61,카스,부산광역시 연제구 중앙대로 1116-4 , 051- 862-3284,129.08183089769335,35.18703968525464
62,여미지,부산광역시 연제구 중앙대로1120번길 14-5 , 051- 852-7474,129.08230423150314,35.18752177235639
63,챔피온 포장센타,부산광역시 연제구 고분로13번길 5-8 , 051- 867-4348,129.083897373283,35.186290417366386
64,파라다이스,부산광역시 연제구 중앙대로 1116-4 , 051- 863-0666,129.08183089769335,35.18703968525464
65,쭈쭈노래주점,부산광역시 연제구 반송로 18-6 ,051 -864 -6969,129.08319368289742,35.186760314543065
66,메아리노래방,부산광역시 연제구 고분로 13 , 051- 864-0715,129.0837784518111,35.185932002821275
67,제우스미인관,부산광역시 연제구 반송로 26 , 051- 867-3040,129.08379788808105,35.187380723584006
68,로얄노래점,부산광역시 연제구 월드컵대로114번길 29 , 051- 864-1005,129.08351863129806,35.18555799003761
69,유진,부산광역시 연제구 중앙대로1120번길 15 , 051- 868-1991,129.08229056322097,35.18784642288442
70,비 노래타운,부산광역시 연제구 반송로 30, 051- 863-0977,129.08420518889338,35.187683708879185
71,용궁,부산광역시 연제구 반송로 9-1 , 051- 862-9500,129.08225201732685,35.186852211864384
72,여궁노래주점,부산광역시 연제구 중앙대로1120번길 20 , 051- 853-1039,129.0824690104683,35.18761265794685
73,보그노래주점,부산광역시 연제구 월드컵대로165번길 33 ,051 -868 -0881,129.0775122467516,35.185733304967236
74,술있는노래방,부산광역시 연제구 과정로237번길 115 , 051- 757-8588,129.1068082474101,35.18476563131729
75,동경룸가라오케,부산광역시 연제구 고분로 7-2 , 051- 868-9889,129.08321775424602,35.18632734643927
76,와,부산광역시 연제구 월드컵대로 126 , 051- 506-2826,129.08231153947077,35.18557154917667
77,샤벨노래주점,부산광역시 연제구 과정로 171 , 051- 752-0799,129.10695466543177,35.186695147504565
78,엣지,부산광역시 연제구 고분로 5-1 , 051- 864-0857,129.08296464944831,35.186216353878365
79,앵콜,부산광역시 연제구 중앙대로1120번길 9 , 051- 852-7793,129.08191732445374,35.1878456330137
80,여미궁,부산광역시 연제구 고분로 5-2 , 051- 862-5800,129.08297308542106,35.18637481183526
81,겐조,부산광역시 연제구 고분로 5-2 , 051- 862-7710,129.08297308542106,35.18637481183526
82,힛트,부산광역시 연제구 고분로13번길 5-16 , 051- 867-3031,129.08347524851447,35.186438262913256
83,럭셔리,부산광역시 연제구 고분로 5-2 ,,129.08297308542106,35.18637481183526
84,궁전노래주점,부산광역시 연제구 중앙대로1124번길 26 , 051- 863-2975,129.0826177573233,35.188107536043795
85,아리랑포장센타,부산광역시 연제구 월드컵대로145번길 11 , 051- 865-6805,129.08033114692427,35.18590838427339
86,파라다이스미인관,부산광역시 연제구 반송로 26-1 , 051- 867-6928,129.08390524508349,35.18745817712637
87,모란봉미인관,부산광역시 연제구 반송로 26-1 , 051- 864-9229,129.08390524508349,35.18745817712637
88,홍콩,부산광역시 연제구 반송로 26-1 ,,129.08390524508349,35.18745817712637
89,벤츠노래주점,부산광역시 연제구 중앙대로 1116-8 , 051- 867-8533,129.08201715966496,35.187112178973884
90,올래올래,부산광역시 연제구 월드컵대로99번길 37 , 051- 867-1755,129.08110121451458,35.18390900435032
91,놈놈놈,부산광역시 연제구 반송로 11 ,,129.08241139446727,35.18690353970118
92,장미노래주점,부산광역시 연제구 과정로 171-1 , 051- 759-2822,129.1069494235039,35.18683221342702
93,도연노래방주점,부산광역시 연제구 중앙대로 1124 , 051- 851-4848,129.0814880412967,35.18788545640976
94,스타술마시는노래방주점,부산광역시 연제구 거제천로182번길 45 , 051- 862-4506,129.0802839956214,35.18767545725928
95,천연노래주점,부산광역시 연제구 중앙대로 1118 , 051- 868-9966,129.0816042878267,35.187450903647054
96,늘봄노래주점,부산광역시 연제구 거제천로230번길 88 , 051- 863-6220,129.0829142703562,35.18802673773662
97,버킹검노래주점,부산광역시 연제구 고분로13번길 11 , 051- 868-0010,129.08418411729963,35.186343154979426
98,화이트,부산광역시 연제구 거제천로182번길 54 , 051- 851-5413,129.0800887316348,35.18724986301549
99,얼짱술마시는노래방,부산광역시 연제구 고분로13번길 11 ,051 -861 -0362,129.08418411729963,35.186343154979426
100,아모르,부산광역시 연제구 반송로 19 , 051- 862-0489,129.08292687161943,35.18731641169684
101,자이안트 라이브클럽,부산광역시 연제구 월드컵대로 144 ,,129.08065793179023,35.18667055195547
102,아라비안Ⅰ,부산광역시 연제구 월드컵대로164번길 26 , 051- 863-1757,129.07933335367295,35.187760277091385
103,오륙도포장센타,부산광역시 연제구 반송로 13-8 , 051- 861-3337,129.0824770017171,35.1872376404348
104,금문교,부산광역시 연제구 월드컵대로 144 ,051 -864 -8166,129.08065793179023,35.18667055195547
105,명품포장클럽,부산광역시 연제구 중앙대로 1116-5 , 051- 863-8011,129.08187336326378,35.18732732429538
106,바나나룸미인관,부산광역시 연제구 반송로 28 ,,129.08392583741536,35.18757677493431
107,우물룸미인관,부산광역시 연제구 반송로 28 , 051- 755-1189,129.08392583741536,35.18757677493431
108,로망스노래주점,부산광역시 연제구 반송로 14-1 , 051- 867-8989,129.08294570142215,35.18667807073785
109,애플,부산광역시 연제구 반송로 28 , 051- 867-6829,129.08392583741536,35.18757677493431
110,에쿠스 술마시는 노래방,부산광역시 연제구 고분로13번길 11 , 051- 868-5480,129.08418411729963,35.186343154979426
111,웰컴노래방주점,부산광역시 연제구 고분로13번길 47 , 051- 851-0337,129.08539236081316,35.18757675349156
112,벤츠노래주점,부산광역시 연제구 고분로13번길 5 , 051- 861-0093,129.0839994833583,35.18616249810986
113,바비브라운,부산광역시 연제구 월드컵대로 141 , 051- 851-7574,129.0805696322839,35.18613498145848
114,오페라노래주점,부산광역시 연제구 고분로13번길 47 , 051- 852-3314,129.08539236081316,35.18757675349156
115,연산,부산광역시 연제구 중앙대로1120번길 17 , 051- 865-6946,129.08240430625744,35.18783004791791
116,별노래주점,부산광역시 연제구 고분로 5-2 , 051- 865-6901,129.08297308542106,35.18637481183526
117,시원,부산광역시 연제구 반송로 19 , 051- 863-9842,129.08292687161943,35.18731641169684
118,상상비즈니스,부산광역시 연제구 중앙대로 1131 , 051- 852-6670,129.08068788054362,35.188533624277085
119,오란다 노래주점,부산광역시 연제구 중앙대로1124번길 30 ,051 -867 -0268,129.08275691421267,35.188054677381494
120,기린,부산광역시 연제구 거제천로182번길 42-1 , 051- 864-1314,129.07971279861164,35.18766003903036
121,사파이어,부산광역시 연제구 거제천로182번길 42-1 , 051- 851-2333,129.07971279861164,35.18766003903036
122,헤라노래주점,부산광역시 연제구 월드컵대로164번길 26 , 051- 863-1756,129.07933335367295,35.187760277091385
123,가성노래주점,부산광역시 연제구 월드컵대로111번길 6-17 ,,129.08148482100788,35.18431694067227
124,포시즌포장스탠드,부산광역시 연제구 중앙대로1120번길 14-7 ,051 -861 -0056,129.08253006123257,35.18742416771525
125,마인더비지니스,부산광역시 연제구 월드컵대로145번길 5 , 051- 866-3038,129.0802990681265,35.18602788791415
126,오색노래주점,부산광역시 연제구 중앙대로1120번길 13 , 051-8635- 354,129.08206608667592,35.18782505149971
127,타임스텐드포장센타,부산광역시 연제구 고분로 7 , 051- 853-1600,129.08325336278142,35.18600231825473
128,짱2 노래주점,부산광역시 연제구 고분로 7 , 051- 868-5444,129.08325336278142,35.18600231825473
129,락시노래주점,부산광역시 연제구 고분로 7 , 051- 853-1600,129.08325336278142,35.18600231825473
130,오로라,부산광역시 연제구 고분로 7 , 051- 853-1004,129.08325336278142,35.18600231825473
131,술마시는 신라노래방,부산광역시 연제구 반송로 34 ,,0,0
132,유토피아포장스텐드,부산광역시 연제구 중앙대로1120번길 14-7 , 051- 861-1155,129.08253006123257,35.18742416771525
133,올래,부산광역시 연제구 월드컵대로 145 , 051- 867-8889,129.08017868258125,35.18630030290058
134,돈텔마마 노래방,부산광역시 연제구 월드컵대로 145 , 051- 863-3712,129.08017868258125,35.18630030290058
135,더블유노래주점,부산광역시 연제구 월드컵대로 145 ,051 -865 -5585,129.08017868258125,35.18630030290058
136,오층노래주점,부산광역시 연제구 월드컵대로 145 ,,129.08017868258125,35.18630030290058
137,제이에스클럽,부산광역시 연제구 월드컵대로 148, 051- 863-0081,129.08025811024297,35.18683242154484
138,춘화도,부산광역시 연제구 월드컵대로 148 , 051- 851-0126,129.08025811024297,35.18683242154484
139,수,부산광역시 연제구 월드컵대로 148 , 051- 851-9777,129.08025811024297,35.18683242154484
140,홍도노래주점,부산광역시 연제구 월드컵대로 148 , 051- 853-6060,129.08025811024297,35.18683242154484
141,에이스,부산광역시 연제구 월드컵대로 148 , 051- 868-1777,129.08025811024297,35.18683242154484
142,바카스노래주점,부산광역시 연제구 중앙대로1120번길 15 ,,129.08229056322097,35.18784642288442
143,그랜드노래주점,부산광역시 연제구 월드컵대로119번길 31 , 051- 868-8859,129.0809669114895,35.18397980069498
144,코코스노래방주점,부산광역시 연제구 중앙대로 1116-8 , 051- 867-6556,129.08201715966496,35.187112178973884
145,대벌포장스탠드,부산광역시 연제구 반송로 20 ,051 -853 -8501,129.08331714893342,35.18695283913013
146,발리포장스텐드,부산광역시 연제구 월드컵대로 152 ,,129.07988023126345,35.18699391285352
147,신세계,부산광역시 연제구 월드컵대로 148, 051- 867-8886,129.08025811024297,35.18683242154484
148,세븐,부산광역시 연제구 월드컵대로 148 ,,129.08025811024297,35.18683242154484
149,발리포장노래주점,부산광역시 연제구 월드컵대로 152 ,,129.07988023126345,35.18699391285352
150,브이아이피,부산광역시 연제구 반송로 13-8 , 051- 867-0002,129.0824770017171,35.1872376404348
151,시작,부산광역시 연제구 중앙대로1120번길 14-7 ,051 -851 -2121,129.08253006123257,35.18742416771525
152,야시,부산광역시 연제구 월드컵대로 140 ,,129.0809708025037,35.18654261729079
153,무지개노래주점,부산광역시 연제구 월드컵대로 146-1 , 051- 852-6072,129.08048625869287,35.18699791794723
154,황금알,부산광역시 연제구 중앙대로1120번길 7 , 051- 852-8686,129.08183786490392,35.18782897641511
155,조아노래방,부산광역시 연제구 중앙대로 1116-8 ,,129.08201715966496,35.187112178973884
156,블루노트,부산광역시 연제구 월드컵대로 148 , 051-862 -9080,129.08025811024297,35.18683242154484
157,야구장,부산광역시 연제구 반송로 20 , 051- 852-8697,129.08331714893342,35.18695283913013
158,강강노래주점,부산광역시 연제구 고분로13번길 5-20 , 051- 867-8838,129.08318899128503,35.186576559876514
159,금호,부산광역시 연제구 중앙대로1120번길 8 , 051- 861-5009,129.08179942023543,35.18752684977451
160,블랙로즈,부산광역시 연제구 중앙대로1120번길 14-5 , 051-8627-7799,129.08230423150314,35.18752177235639
161,신바람노래주점,부산광역시 연제구 중앙대로1120번길 14-6 , 051- 868-8603,129.08201766817604,35.187476236469664
162,택시,부산광역시 연제구 반송로 26 ,,129.08379788808105,35.187380723584006
163,복(福),부산광역시 연제구 반송로 26 , 051- 866-1721,129.08379788808105,35.187380723584006
164,아우디,부산광역시 연제구 반송로 32-8 ,,129.08418017825525,35.18739216569962
165,땡벌노래주점,부산광역시 연제구 고분로13번길 5-20 ,,129.08318899128503,35.186576559876514
166,지중해,부산광역시 연제구 반송로 6 , 051- 853-7554,129.082474024369,35.1862608406667
167,블루노래주점,부산광역시 연제구 반송로 18-6 , 051- 864-6325,129.08319368289742,35.186760314543065
168,라이브 라온,부산광역시 연제구 반송로 13-10 ,,129.0822946931325,35.187320077927964
169,술마시는쇼노래방,부산광역시 연제구 거제천로182번길 60 , 051- 852-6161,129.0803273625674,35.18713762402694
170,황후 술마시는 노래방,부산광역시 연제구 중앙대로1120번길 8 , 051- 853-8635,129.08179942023543,35.18752684977451
171,황제스탠드나이트,부산광역시 연제구 월드컵대로 146 ,051 -852 -0097,129.0804061361945,35.18678301780514
172,황태자노래주점,부산광역시 연제구 월드컵대로 146 ,051 -853 -4422,129.0804061361945,35.18678301780514
173,토마토,부산광역시 연제구 월드컵대로 146 ,051 -851 -6663,129.0804061361945,35.18678301780514
174,술마시는 창 노래방,부산광역시 연제구 월드컵대로 148 ,051 -866 -7071,129.08025811024297,35.18683242154484
175,불나비포장 센타,부산광역시 연제구 월드컵대로 146 ,,129.0804061361945,35.18678301780514
176,초콜렛,부산광역시 연제구 중앙대로 1121 ,051 -852 -6200,129.0806668385645,35.18770852867209
177,씨엔엔,부산광역시 연제구 중앙대로 1121 ,051 -852 -9889,129.0806668385645,35.18770852867209
178,초이스,부산광역시 연제구 중앙대로1120번길 19 ,051 -852 -6330,129.082504974575,35.18781750237776
179,준코뮤직타운 연산점,부산광역시 연제구 월드컵대로 146 ,051 -867 -2235,129.0804061361945,35.18678301780514
180,스와니,부산광역시 연제구 월드컵대로 146 ,051 -853 -4422,129.0804061361945,35.18678301780514
181,이영화7080 라이브,부산광역시 연제구 중앙대로1120번길 14-7 ,,129.08253006123257,35.18742416771525
182,스타일,부산광역시 연제구 월드컵대로 146 ,051 -853 -0150,129.0804061361945,35.18678301780514
183,여보여보 노래주점,부산광역시 연제구 중앙대로 1131 ,051 -853 -7341,129.08068788054362,35.188533624277085
184,코아,부산광역시 연제구 월드컵대로 146 ,051 -853 -6623,129.0804061361945,35.18678301780514
185,소나무,부산광역시 연제구 반송로 20 ,051 -851 -6620,129.08331714893342,35.18695283913013
186,여성시대,부산광역시 연제구 반송로 30 ,051 -864 -5551,129.08420518889338,35.187683708879185
187,황금마차주점,부산광역시 연제구 반송로 13-8 ,,129.0824770017171,35.1872376404348
188,JB(제이비)테마노래텔주점,부산광역시 연제구 월드컵대로 152 ,051 -851 -3877,129.07988023126345,35.18699391285352
189,카라노래주점,부산광역시 연제구 중앙대로1120번길 8 ,,129.08179942023543,35.18752684977451
190,엠제이노래타운,부산광역시 연제구 월드컵대로 152 ,051 -866 -7079,129.07988023126345,35.18699391285352
191,불노래주점,부산광역시 연제구 월드컵대로 146 ,,129.0804061361945,35.18678301780514
192,7080 세시봉 라이브,부산광역시 연제구 고분로 5 ,051 -868 -2388,129.0829385664157,35.186054594929985
193,더블유,부산광역시 연제구 반송로 8 ,,129.08246051538376,35.18641967616641
194,호박,부산광역시 연제구 중앙대로1120번길 13-8 ,,129.08236529135118,35.18802176365828
195,락휴노래타운,부산광역시 연제구 월드컵대로 146 ,051 -853 -7123,129.0804061361945,35.18678301780514
196,나이스,부산광역시 연제구 고분로 7 ,,129.08325336278142,35.18600231825473
197,대아노래주점,부산광역시 연제구 중앙대로1120번길 14-4 ,051 -867 -6065,129.08207840121744,35.18761937659333
198,환희노래방주점,부산광역시 연제구 반송로 13 ,051 -852 -6559,129.08259857626493,35.18701206285972
199,설탕노래방,부산광역시 연제구 거제천로182번길 60 ,051 -852 -6456,129.0803273625674,35.18713762402694
200,팔도노래주점,부산광역시 연제구 중앙대로1120번길 8 ,,129.08179942023543,35.18752684977451
201,샤인노래주점,부산광역시 연제구 월드컵대로 149 ,,129.07986974101595,35.186410144929596
202,황태자,부산광역시 연제구 고분로 7 ,,129.08325336278142,35.18600231825473
203,VIP술마시는노래방,부산광역시 연제구 월드컵대로111번길 46 ,,129.0808146065478,35.182655918666505
204,단비술마시는 노래방,부산광역시 연제구 중앙대로1120번길 10 ,051 -864 -1144,129.08192871997232,35.187603927759945
205,후술마시는노래방,부산광역시 연제구 월드컵대로145번길 20 ,,129.08013726520505,35.18553683545689
206,중독술마시는노래방,부산광역시 연제구 월드컵대로 149 ,,129.07986974101595,35.186410144929596
207,아리수 술마시는 노래방,부산광역시 연제구 거제천로182번길 42 ,051 -851 -4358,129.07982481672582,35.18774823003301
