,사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
32,2010000000000000,2013년 7월 2일 02시,화요일,부산광역시 연제구 연산동,부상신고사고,0,0,0,1,차대사람 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,보행자,남,51세,부상신고,35.186941,129.084882
33,2010000000000000,2013년 7월 4일 00시,목요일,부산광역시 연제구 거제동,중상사고,0,2,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,54세,중상,35.190582,129.067668
34,2010000000000000,2013년 7월 4일 20시,목요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 습기,비,단일로 - 기타,승용,남,49세,상해없음,이륜,남,43세,중상,35.191734,129.09795
35,2010000000000000,2013년 7월 6일 21시,토요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,52세,상해없음,보행자,여,30세,경상,35.180616,129.10791
36,2010000000000000,2013년 7월 8일 18시,월요일,부산광역시 연제구 거제동,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,30세,상해없음,승용,여,53세,중상,35.183544,129.069784
37,2010000000000000,2013년 7월 18일 21시,목요일,부산광역시 연제구 거제동,중상사고,0,5,3,0,차대차 - 추돌 - 주정차중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,41세,상해없음,승용,남,56세,상해없음,35.18516,129.071348
38,2010000000000000,2013년 7월 19일 14시,금요일,부산광역시 연제구 거제동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,55세,경상,35.198853,129.078513
39,2010000000000000,2013년 7월 20일 00시,토요일,부산광역시 연제구 거제동,경상사고,0,0,1,1,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,57세,경상,35.182078,129.073169
40,2010000000000000,2013년 7월 20일 05시,토요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,36세,상해없음,이륜,남,65세,중상,35.189468,129.087803
41,2010000000000000,2013년 7월 21일 18시,일요일,부산광역시 연제구 거제동,중상사고,0,2,1,0,차대차 - 추돌 - 진행중,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,57세,상해없음,승용,남,42세,중상,35.194911,129.07993
