,사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,위도,경도
50,2017010300100549.0,2017년 1월 3일 22시,화요일,부산광역시 부산진구 개금동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,보행자,여,49세,경상,35.160481,129.02606799999998
51,2017011400100040.0,2017년 1월 14일 01시,토요일,부산광역시 부산진구 범천동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,승용,남,66세,경상,35.148034,129.059236
52,2017011900100073.0,2017년 1월 19일 06시,목요일,부산광역시 부산진구 개금동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 고가도로위,승용,남,48세,상해없음,화물,남,50세,경상,35.154861,129.032254
53,2017012100100021.0,2017년 1월 21일 00시,토요일,부산광역시 부산진구 부암동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,이륜,남,36세,상해없음,이륜,남,25세,경상,35.167598999999996,129.051206
54,2017012900100036.0,2017년 1월 29일 03시,일요일,부산광역시 부산진구 부전동,중상사고,0,1,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,24세,상해없음,승용,남,56세,상해없음,35.154456,129.062348
55,2017013000100259.0,2017년 1월 30일 17시,월요일,부산광역시 부산진구 연지동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,50세,상해없음,승용,남,40세,경상,35.171782,129.059269
56,2017020300100050.0,2017년 2월 3일 02시,금요일,부산광역시 부산진구 범전동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,45세,상해없음,승용,남,71세,상해없음,35.164053,129.05416
57,2017021500100457.0,2017년 2월 15일 20시,수요일,부산광역시 부산진구 가야동,경상사고,0,0,1,0,차대차 - 정면충돌,교차로운행방법위반,포장 - 건조,흐림,교차로 - 교차로안,원동기,남,58세,상해없음,승용,남,68세,상해없음,35.154428,129.037273
58,2017021900100092.0,2017년 2월 19일 06시,일요일,부산광역시 부산진구 가야동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,67세,경상,35.155011,129.03819199999998
59,2017021900100141.0,2017년 2월 19일 11시,일요일,부산광역시 부산진구 개금동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,48세,상해없음,승용,남,70세,경상,35.156875,129.024567
60,2017022800100062.0,2017년 2월 28일 05시,화요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 기타,승용,남,21세,상해없음,승합,남,52세,경상,35.153615,129.059138
61,2017030600100451.0,2017년 3월 6일 19시,월요일,부산광역시 부산진구 당감동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,남,46세,경상,35.172022999999996,129.02866
62,2017031000100071.0,2017년 3월 10일 06시,금요일,부산광역시 부산진구 양정동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,62세,상해없음,이륜,남,55세,중상,35.170429,129.069246
63,2017031500100055.0,2017년 3월 15일 04시,수요일,부산광역시 부산진구 부전동,부상신고사고,0,0,0,1,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로부근,원동기,남,19세,부상신고,승용,남,29세,상해없음,35.155499,129.062374
64,2017031800100046.0,2017년 3월 18일 01시,토요일,부산광역시 부산진구 당감동,중상사고,0,2,0,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,흐림,교차로 - 교차로부근,승용,여,36세,상해없음,승용,남,66세,중상,35.160102,129.03524099999998
65,2017031900100094.0,2017년 3월 19일 05시,일요일,부산광역시 부산진구 전포동,중상사고,0,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,승용,남,60세,상해없음,35.149078,129.065902
66,2017032000100469.0,2017년 3월 20일 20시,월요일,부산광역시 부산진구 당감동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승용,여,46세,상해없음,승용,남,52세,중상,35.165161,129.033319
67,2017032100100033.0,2017년 3월 21일 01시,화요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,포장 - 젖음/습기,비,단일로 - 기타,승용,남,35세,상해없음,승용,남,59세,경상,35.156486,129.06233799999998
68,2017032500100083.0,2017년 3월 25일 04시,토요일,부산광역시 부산진구 부전동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,이륜,남,21세,중상,승용,남,33세,상해없음,35.152045,129.056979
69,2017032500100546.0,2017년 3월 25일 22시,토요일,부산광역시 부산진구 전포동,중상사고,0,1,2,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,흐림,단일로 - 기타,승용,남,28세,상해없음,보행자,남,37세,중상,35.16088,129.06434099999998
70,2017040400100463.0,2017년 4월 4일 21시,화요일,부산광역시 부산진구 개금동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,원동기,남,62세,상해없음,보행자,남,29세,중상,35.146188,129.019774
71,2017041000100032.0,2017년 4월 10일 00시,월요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,26세,상해없음,승용,남,71세,기타불명,35.148214,129.058042
72,2017041000100574.0,2017년 4월 10일 21시,월요일,부산광역시 부산진구 가야동,경상사고,0,0,2,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,상해없음,승용,남,32세,경상,35.148112,129.033446
73,2017042000100044.0,2017년 4월 20일 02시,목요일,부산광역시 부산진구 당감동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,경상,승용,남,50세,상해없음,35.165896000000004,129.039105
74,2017042100100622.0,2017년 4월 21일 23시,금요일,부산광역시 부산진구 가야동,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,55세,상해없음,승용,남,68세,경상,35.148992,129.030078
75,2017042200100099.0,2017년 4월 22일 06시,토요일,부산광역시 부산진구 개금동,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,승용,남,56세,경상,35.161125,129.029434
76,2017042600100045.0,2017년 4월 26일 02시,수요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,26세,상해없음,보행자,남,23세,경상,35.154514,129.059276
