,소재지전체주소,소재지,x,y
82,부산광역시 중구 중앙동2가 49-9번지 (1층) ,부산광역시 중구 중앙동2가 49-9번지 ,129.0351964,35.10245595
83,부산광역시 중구 부평동1가 35-34번지 외 4필지 2층 ,부산광역시 중구 부평동1가 35-34번지 외 4필지 2층 ,129.0266872,35.09980851
84,부산광역시 중구 부평동1가 30-1번지 (2층) ,부산광역시 중구 부평동1가 30-1번지 ,129.0274809,35.10032873
85,부산광역시 중구 부평동2가 25-2번지 (지하1층) ,부산광역시 중구 부평동2가 25-2번지 ,129.0261992,35.09993923
86,부산광역시 중구 부평동2가 33-3번지 3층 ,부산광역시 중구 부평동2가 33-3번지 3층 ,129.025869,35.09918055
87,부산광역시 중구 남포동5가 53-3번지 (2층) ,부산광역시 중구 남포동5가 53-3번지 ,129.029556,35.09769501
88,부산광역시 중구 동광동3가 15-5번지 (4층) ,부산광역시 중구 동광동3가 15-5번지 ,129.0346909,35.10135419
89,부산광역시 중구 중앙동4가 81-19번지 (2층) ,부산광역시 중구 중앙동4가 81-19번지 ,129.0375007,35.10780625
90,부산광역시 중구 부평동1가 35-5번지 (2층) ,부산광역시 중구 부평동1가 35-5번지 ,129.0270469,35.09962947
91,부산광역시 중구 중앙동4가 81-17번지 (지하1층) ,부산광역시 중구 중앙동4가 81-17번지 ,129.0373867,35.10798119
92,부산광역시 중구 남포동6가 91번지 (4층) ,부산광역시 중구 남포동6가 91번지 ,129.0272957,35.09834203
93,부산광역시 중구 광복동1가 45번지 ,부산광역시 중구 광복동1가 45번지 ,129.0345338,35.09838656
94,부산광역시 중구 남포동6가 65-1번지 (4층) ,부산광역시 중구 남포동6가 65-1번지 ,129.026299,35.09776753
95,부산광역시 중구 남포동5가 54-1번지 (2층) ,부산광역시 중구 남포동5가 54-1번지 ,129.0297775,35.09778502
96,부산광역시 중구 영주동 32-8번지 ,부산광역시 중구 영주동 32-8번지 ,129.0377823,35.11241912
97,부산광역시 중구 부평동2가 33-4번지 (3층) ,부산광역시 중구 부평동2가 33-4번지 ,129.0259079,35.0993313
98,"부산광역시 중구 부평동2가 47-4번지 (2,3층) ",부산광역시 중구 부평동2가 47-4번지 ,129.0252391,35.09889189
99,부산광역시 중구 중앙동5가 15-1번지 서경파라다이스호(선박) 6층 ,부산광역시 중구 중앙동5가 15-1번지 서경파라다이스호,129.0381304,35.10138651
100,부산광역시 중구 남포동5가 8-1번지 호텔 포레 프리미어 남포점 15층 ,부산광역시 중구 남포동5가 8-1번지 호텔 포레 프리미어 남포점 15층 ,129.029709,35.09838095
101,부산광역시 중구 남포동5가 50-1번지 3층 일부 ,부산광역시 중구 남포동5가 50-1번지 3층 일부 ,129.0292144,35.09771515
