,위도,경도
216,35.169017,129.132597
217,35.160942,129.154336
218,35.1600573,129.1428578
219,35.181212,129.123537
220,35.17750145,129.126949
221,35.17538667,129.1223234
222,35.189853,129.120571
223,35.189853,129.120571
224,35.184275,129.1187133
225,35.178367,129.1657939
226,35.1718685,129.1742232
227,35.2167619,129.1178377
228,35.1597335,129.1621345
229,35.159722,129.162303
230,35.166874,129.1323726
231,35.120318,128.897318
232,35.0122222,128.8273611
233,35.013795,128.8344049
234,35.027373,128.815801
235,35.245593,129.090717
236,35.245042,129.090941
237,35.242818,129.090124
238,35.216493,129.117998
239,35.250342,129.056194
240,35.259668,129.091605
241,35.266188,129.091539
242,35.260098,129.091973
243,35.226708,129.088814
244,35.237672,129.088538
245,35.234898,129.089033
246,35.233454,129.089272
247,35.232595,129.088819
248,35.229686,129.089656
249,35.241702,129.088542
250,35.223648,129.088073
251,35.19594444,129.2236944
252,35.18358056,129.211925
253,35.2385432,129.242718
254,35.289913,129.255019
255,35.30611111,129.2153889
256,35.27263333,129.2471611
257,35.29716667,129.2600278
258,35.356206,129.249691
259,35.368726,129.268125
260,35.34395208,129.2457848
261,35.31627778,129.2621389
262,35.273705,129.178921
263,35.31998365,129.1189007
264,35.10985278,129.0689389
265,35.13005556,129.1013889
266,35.14130556,129.0649583
267,35.11993723,129.1124467
268,35.13221111,129.1201889
269,35.102975,129.1121778
270,35.1229818,129.1050884
271,35.1379169,129.0514958
272,35.129335,129.0454233
273,35.13519444,129.0634167
274,35.194599,129.090543
275,35.2163924,129.084273
276,35.217795,129.084935
277,35.212686,129.081546
278,35.2138311,129.081003
279,35.208261,129.078773
280,35.200531,129.086201
281,35.1943512,129.0879843
282,35.193744,129.091633
283,35.193802,129.090672
284,35.1936766,129.0910707
285,35.1936679,129.0914891
286,35.195459,129.085055
287,35.2032324,129.0838769
288,35.2032324,129.0838769
289,35.197244,129.083029
290,35.197777,129.082707
291,35.1931866,129.0909128
292,35.19749843,129.085019
293,35.199705,129.080386
294,35.1909411,129.1070808
295,35.1913795,129.1029582
296,35.20518938,129.0756993
297,35.219301,129.083024
298,35.205249,129.078802
299,35.218579,129.085044
300,35.210286,129.078926
301,35.215961,129.080093
302,35.2218559,129.0867831
303,35.211934,129.079652
304,35.212019,129.079721
305,35.203183,129.078717
306,35.144827,129.063524
307,35.149165,129.070711
308,35.20977778,129.0029722
309,35.20977778,129.0029722
310,35.20288056,128.9931389
311,35.219604,129.006346
312,35.21134444,129.0019056
313,35.23956667,129.0143556
314,35.241538,129.017756
315,35.16962322,128.978622
316,35.13077778,128.9700278
317,35.13077778,128.9700278
318,35.14193889,128.983275
319,35.08263889,129.0064167
320,35.09608333,128.9864167
321,35.057585,128.995241
322,35.05334046,128.9955435
323,35.04813889,129.0012222
324,35.045847,128.968586
325,35.04633333,128.9680194
326,35.05623593,128.9719987
327,35.08334694,128.9527222
328,35.09971341,128.9615471
329,35.10653458,128.9607279
330,35.1224617,128.9997778
331,35.07966667,129.0222778
